ticker,year,quarter,outstanding_shares,quarter_end_price
A,2024,Q1,293055284,145.51
A,2024,Q2,291760872,129.63
A,2024,Q3,287327671,148.48
A,2024,Q4,285595302,134.34
A,2025,Q1,285102717,116.98
A,2025,Q2,284064728,118.01
A,2025,Q3,283500427,128.35
A,2025,Q4,283498871,136.07
A,2026,Q1,282602317,113.98
AA,2024,Q1,179559688,33.79
AA,2024,Q2,258340140,39.78
AA,2024,Q3,258354828,38.58
AA,2024,Q4,258884337,37.78
AA,2025,Q1,258902338,30.5
AA,2025,Q2,258914723,29.51
AA,2025,Q3,258964032,32.89
AA,2025,Q4,263839742,53.14
AACBU,2025,Q1,23650000,10.11
AACG,2025,Q4,63912442,
AACIU,2025,Q3,23710000,10.43
AACIU,2025,Q4,23710000,10.24
AACT,2024,Q1,50000000,
AACT,2024,Q2,50000000,10.67
AACT,2024,Q3,50000000,10.83
AACT,2024,Q4,50000000,10.98
AACT,2025,Q1,61859712,11.15
AACT.U,2025,Q3,181207392,
AACT.U,2025,Q4,182555384,
AAL,2024,Q1,656090344,15.35
AAL,2024,Q2,656703913,11.33
AAL,2024,Q3,657130996,11.24
AAL,2024,Q4,657575582,17.43
AAL,2025,Q1,659512341,10.55
AAL,2025,Q2,659828821,11.22
AAL,2025,Q3,660086495,11.24
AAL,2025,Q4,660304573,15.33
AAL,2026,Q1,661385137,10.74
AAM,2024,Q1,8625000,
AAM,2024,Q2,43974000,
AAM,2024,Q3,43974000,10.02
AAM,2024,Q4,35349000,10.1
AAM,2025,Q1,43974000,10.43
AAM,2025,Q3,43970000,
AAM.U,2025,Q3,43974000,
AAME,2024,Q2,20399758,1.69
AAME,2024,Q3,20399758,1.7
AAME,2024,Q4,20399758,1.5
AAME,2025,Q1,20397228,1.7
AAME,2025,Q2,20397228,2.13
AAME,2025,Q3,20397228,2.88
AAMI,2024,Q1,38000000,22.84
AAMI,2024,Q2,37100000,22.17
AAMI,2024,Q3,37300000,25.4
AAMI,2024,Q4,37500000,26.34
AAMI,2025,Q1,36700000,25.86
AAMI,2025,Q2,35811913,35.24
AAMI,2025,Q3,35709120,48.16
AAMI,2025,Q4,35722568,47.0
AAOI,2024,Q2,40895715,8.29
AAOI,2024,Q3,45078203,14.31
AAOI,2024,Q4,49651482,36.86
AAOI,2025,Q1,55544354,15.35
AAOI,2025,Q2,62353846,25.69
AAOI,2025,Q3,68278417,25.93
AAOI,2025,Q4,75198817,34.86
AAON,2024,Q1,82209281,88.1
AAON,2024,Q2,81013148,87.24
AAON,2024,Q3,81279625,107.84
AAON,2024,Q4,81597289,117.68
AAON,2025,Q1,81366138,78.13
AAON,2025,Q2,81530676,73.75
AAON,2025,Q3,81634058,93.44
AAON,2025,Q4,81499853,76.25
AAP,2024,Q2,59622297,63.33
AAP,2024,Q3,59674284,38.99
AAP,2024,Q4,59734513,47.29
AAP,2025,Q1,59833100,39.21
AAP,2025,Q2,59925637,46.49
AAP,2025,Q3,59984947,61.4
AAP,2025,Q4,60022245,39.3
AAP,2026,Q1,60100000,52.75
AAPL,2024,Q1,15334082000,171.48
AAPL,2024,Q2,15204137000,210.62
AAPL,2024,Q3,15116786000,233.0
AAPL,2024,Q4,15022073000,250.42
AAPL,2025,Q1,14935826000,222.13
AAPL,2025,Q2,14840390000,205.17
AAPL,2025,Q3,14776353000,254.63
AAPL,2025,Q4,14681140000,271.86
AARD,2025,Q1,21688172,7.51
AARD,2025,Q2,21696893,13.52
AARD,2025,Q3,21773272,
AARD,2025,Q4,21816041,13.13
AAT,2024,Q2,60901583,22.38
AAT,2024,Q3,60901583,26.72
AAT,2024,Q4,61138238,26.26
AAT,2025,Q1,61134730,20.14
AAT,2025,Q2,61152542,19.75
AAT,2025,Q3,61152542,20.32
AAT,2025,Q4,61390936,18.93
AAUC,2025,Q4,124737221,22.88
AB,2024,Q2,114619452,33.79
AB,2024,Q3,113435357,34.89
AB,2024,Q4,110530329,37.09
AB,2025,Q1,110699699,38.31
AB,2025,Q2,110537295,40.83
AB,2025,Q3,90993251,38.22
AB,2025,Q4,92284367,38.48
ABAT,2024,Q1,58598133,
ABAT,2024,Q2,72048442,1.25
ABAT,2024,Q3,74521669,1.07
ABAT,2024,Q4,84658010,2.46
ABAT,2025,Q1,91886412,1.03
ABAT,2025,Q2,118046888,1.62
ABAT,2025,Q3,129969958,4.86
ABAT,2025,Q4,131709245,3.34
ABBV,2024,Q1,1765867781,182.1
ABBV,2024,Q2,1766343745,171.52
ABBV,2024,Q3,1767140323,197.48
ABBV,2024,Q4,1765354859,177.7
ABBV,2025,Q1,1766403027,209.52
ABBV,2025,Q2,1766558253,185.62
ABBV,2025,Q3,1767384632,231.54
ABBV,2025,Q4,1768169012,228.49
ABCB,2024,Q1,69107260,48.38
ABCB,2024,Q2,69067019,50.35
ABCB,2024,Q3,69066730,62.39
ABCB,2024,Q4,69068609,62.57
ABCB,2025,Q1,68910924,57.57
ABCB,2025,Q2,68586848,64.7
ABCB,2025,Q3,68315144,73.31
ABCB,2025,Q4,67880297,74.27
ABCL,2024,Q1,294054356,4.53
ABCL,2024,Q2,294665532,2.96
ABCL,2024,Q3,295366280,2.6
ABCL,2024,Q4,297987669,2.93
ABCL,2025,Q1,298484664,2.23
ABCL,2025,Q2,298832913,3.43
ABCL,2025,Q3,299335048,5.03
ABCL,2025,Q4,303160487,3.42
ABEO,2024,Q1,41186004,7.25
ABEO,2024,Q2,43314397,4.24
ABEO,2024,Q3,43471030,6.32
ABEO,2024,Q4,48533798,5.57
ABEO,2025,Q1,51156736,4.76
ABEO,2025,Q2,51278539,5.68
ABEO,2025,Q3,54191361,5.28
ABEO,2025,Q4,57049023,5.27
ABEV,2024,Q3,15726199808,2.44
ABEV,2024,Q4,15728199680,1.85
ABEV,2025,Q1,15656599552,2.33
ABEV,2025,Q3,15760000000,2.23
ABEV,2025,Q4,15761638756,2.47
ABG,2024,Q1,20172237,235.78
ABG,2024,Q2,19980100,227.87
ABG,2024,Q3,19587459,238.59
ABG,2024,Q4,19645447,243.03
ABG,2025,Q1,19659160,220.84
ABG,2025,Q2,19660638,238.54
ABG,2025,Q3,19440558,244.45
ABG,2025,Q4,19257920,232.53
ABL,2024,Q1,63925316,
ABL,2024,Q2,74651347,8.65
ABL,2024,Q3,74678769,10.12
ABL,2024,Q4,96853039,7.83
ABL,2025,Q1,96853039,7.49
ABL,2025,Q2,96764624,5.14
ABL,2025,Q3,97752855,5.73
ABL,2025,Q4,96542155,8.55
ABM,2024,Q1,63291484,44.62
ABM,2024,Q2,62800000,50.57
ABM,2024,Q3,62800000,52.76
ABM,2024,Q4,62200000,51.18
ABM,2025,Q1,62200000,47.36
ABM,2025,Q2,62200000,47.21
ABM,2025,Q3,61233895,46.12
ABM,2025,Q4,60177625,42.3
ABM,2026,Q1,58532820,38.52
ABNB,2024,Q1,441500418,164.96
ABNB,2024,Q2,440002134,151.63
ABNB,2024,Q3,432876590,126.81
ABNB,2024,Q4,432876657,131.41
ABNB,2025,Q1,431602213,119.46
ABNB,2025,Q2,429079558,132.34
ABNB,2025,Q3,425294120,121.42
ABNB,2025,Q4,423573275,135.72
ABOS,2024,Q2,60079778,2.42
ABOS,2024,Q3,60079778,2.48
ABOS,2024,Q4,60573425,1.72
ABOS,2025,Q1,60573425,1.1
ABOS,2025,Q2,60573425,1.16
ABOS,2025,Q3,60573425,1.71
ABOS,2025,Q4,72212758,2.11
ABP,2025,Q3,2716278,0.22
ABP,2025,Q4,5896048,
ABR,2024,Q1,188514660,13.25
ABR,2024,Q2,188548879,14.35
ABR,2024,Q3,188608777,15.56
ABR,2024,Q4,189505422,13.85
ABR,2025,Q1,192160232,11.75
ABR,2025,Q2,192301414,10.7
ABR,2025,Q3,195710635,12.21
ABR,2025,Q4,193115316,7.76
ABSI,2024,Q2,113556334,3.08
ABSI,2024,Q3,114855759,3.82
ABSI,2024,Q4,127333887,2.62
ABSI,2025,Q1,127559352,2.51
ABSI,2025,Q2,149522647,2.57
ABSI,2025,Q3,150371531,3.04
ABSI,2025,Q4,153021263,3.49
ABT,2024,Q1,1739633759,113.66
ABT,2024,Q2,1739897004,103.91
ABT,2024,Q3,1734455213,114.01
ABT,2024,Q4,1734323411,113.11
ABT,2025,Q1,1739836465,132.65
ABT,2025,Q2,1740459014,136.01
ABT,2025,Q3,1738871947,133.94
ABT,2025,Q4,1737682887,125.29
ABUS,2024,Q1,188717409,2.58
ABUS,2024,Q2,188782029,3.09
ABUS,2024,Q3,189491685,3.85
ABUS,2024,Q4,191480188,3.27
ABUS,2025,Q1,191527129,3.49
ABUS,2025,Q2,191698695,3.09
ABUS,2025,Q3,192324017,4.54
ABUS,2025,Q4,195478068,4.81
ABVC,2024,Q2,12421815,
ABVC,2024,Q3,12975492,
ABVC,2024,Q4,15778305,
ABVC,2025,Q1,16773261,
ABVC,2025,Q2,23541824,
ABVC,2025,Q3,24301089,3.04
ABVC,2025,Q4,25440407,2.13
ABVX,2025,Q4,78536412,134.85
AC,2024,Q2,2319994,34.02
AC,2024,Q3,2286564,35.42
AC,2024,Q4,2201859,34.26
AC,2025,Q1,2187106,38.32
AC,2025,Q2,2172492,37.5
ACA,2024,Q1,48582544,85.86
ACA,2024,Q2,48783999,83.41
ACA,2024,Q3,48776818,94.76
ACA,2024,Q4,48776021,96.74
ACA,2025,Q1,48816087,77.12
ACA,2025,Q2,49044906,86.71
ACA,2025,Q3,49045025,93.71
ACA,2025,Q4,49044022,106.32
ACAD,2024,Q1,165220884,18.49
ACAD,2024,Q2,165876052,16.25
ACAD,2024,Q3,166391891,15.38
ACAD,2024,Q4,166788517,18.35
ACAD,2025,Q1,167361851,16.61
ACAD,2025,Q2,168712220,21.57
ACAD,2025,Q3,169181817,21.34
ACAD,2025,Q4,170494613,26.71
ACB,2024,Q3,54660800,5.88
ACB,2024,Q4,54877200,4.25
ACB,2025,Q1,54884100,4.39
ACB,2025,Q3,56220000,5.96
ACB,2025,Q4,56575295,4.22
ACCO,2024,Q1,95639730,5.61
ACCO,2024,Q2,95797838,4.7
ACCO,2024,Q3,92881008,5.47
ACCO,2024,Q4,92881008,5.25
ACCO,2025,Q1,90099055,4.19
ACCO,2025,Q2,90132531,3.58
ACCO,2025,Q3,90136133,3.99
ACCO,2025,Q4,90170277,3.73
ACCS,2024,Q2,3833977,
ACCS,2024,Q3,3833977,
ACCS,2024,Q4,3838743,
ACCS,2025,Q1,3847743,
ACCS,2025,Q2,3868826,
ACCS,2025,Q3,3868826,
ACCS,2025,Q4,3859211,
ACDC,2024,Q1,159936049,8.36
ACDC,2024,Q2,160146602,7.41
ACDC,2024,Q3,160146602,6.79
ACDC,2024,Q4,160178432,7.76
ACDC,2025,Q1,160178432,7.59
ACDC,2025,Q2,160200000,7.76
ACDC,2025,Q3,180800000,3.7
ACDC,2025,Q4,180900000,3.89
ACEL,2024,Q1,83778268,11.79
ACEL,2024,Q2,82958153,10.26
ACEL,2024,Q3,82430205,11.62
ACEL,2024,Q4,85670255,10.68
ACEL,2025,Q1,84927240,9.92
ACEL,2025,Q2,84293802,11.77
ACEL,2025,Q3,83207946,11.07
ACEL,2025,Q4,81567065,11.41
ACET,2024,Q2,82400960,1.21
ACET,2024,Q3,82400960,1.44
ACET,2024,Q4,82685750,0.96
ACET,2025,Q1,82709625,0.76
ACET,2025,Q2,83253779,0.61
ACET,2025,Q3,153255581,0.81
ACET,2025,Q4,9596407,8.42
ACGL,2024,Q1,375494237,92.44
ACGL,2024,Q2,376057841,100.89
ACGL,2024,Q3,376241879,111.88
ACGL,2024,Q4,375357236,92.35
ACGL,2025,Q1,374754525,96.18
ACGL,2025,Q2,373220295,91.05
ACGL,2025,Q3,362625938,90.73
ACGL,2025,Q4,355803320,95.92
ACHC,2024,Q1,92774604,79.22
ACHC,2024,Q2,92867210,67.54
ACHC,2024,Q3,92885352,63.41
ACHC,2024,Q4,92913042,39.65
ACHC,2025,Q1,92122163,30.32
ACHC,2025,Q2,92346592,22.69
ACHC,2025,Q3,92258166,24.76
ACHC,2025,Q4,92211777,14.19
ACHR,2024,Q1,285344759,4.62
ACHR,2024,Q2,319442565,3.52
ACHR,2024,Q3,389161681,3.03
ACHR,2024,Q4,542470264,9.75
ACHR,2025,Q1,548881477,7.11
ACHR,2025,Q2,640636644,10.85
ACHR,2025,Q3,651297219,9.58
ACHR,2025,Q4,744046194,7.52
ACHV,2024,Q2,34341303,4.7
ACHV,2024,Q3,34389946,4.74
ACHV,2024,Q4,34685072,3.52
ACHV,2025,Q1,34685072,2.67
ACHV,2025,Q2,51104968,2.26
ACHV,2025,Q3,53233988,3.15
ACHV,2025,Q4,53239988,4.97
ACI,2023,Q4,576039866,23.0
ACI,2024,Q1,594445268,21.44
ACI,2024,Q2,579133695,19.75
ACI,2024,Q3,579348079,18.48
ACI,2024,Q4,579379327,19.64
ACI,2025,Q1,575749857,21.99
ACI,2025,Q2,559846443,21.51
ACI,2025,Q3,549307530,17.51
ACI,2025,Q4,513913121,17.17
ACI,2026,Q1,499542902,17.04
ACIC,2024,Q2,48145582,10.55
ACIC,2024,Q3,48204962,11.27
ACIC,2024,Q4,48248630,13.46
ACIC,2025,Q1,48353412,11.57
ACIC,2025,Q2,48765302,11.12
ACIC,2025,Q3,48765302,11.39
ACIC,2025,Q4,48656205,12.63
ACIU,2025,Q4,101742231,3.14
ACIW,2024,Q1,105439792,33.21
ACIW,2024,Q2,104657257,39.59
ACIW,2024,Q3,104888642,50.9
ACIW,2024,Q4,105336028,51.91
ACIW,2025,Q1,104899645,54.71
ACIW,2025,Q2,103192071,45.91
ACIW,2025,Q3,103088006,52.77
ACIW,2025,Q4,101719981,47.81
ACLS,2024,Q1,32532498,111.52
ACLS,2024,Q2,32617587,142.19
ACLS,2024,Q3,32506111,104.85
ACLS,2024,Q4,32154139,69.87
ACLS,2025,Q1,32129538,49.67
ACLS,2025,Q2,31418860,69.69
ACLS,2025,Q3,30999133,97.64
ACLS,2025,Q4,30718815,80.34
ACLX,2024,Q2,53755679,55.19
ACLX,2024,Q3,54074670,83.51
ACLX,2024,Q4,54944012,76.69
ACLX,2025,Q1,55106703,65.6
ACLX,2025,Q2,55458912,65.85
ACLX,2025,Q3,57822871,82.1
ACLX,2025,Q4,58479812,65.2
ACM,2024,Q1,136127400,98.08
ACM,2024,Q2,134066746,88.14
ACM,2024,Q3,132463704,103.27
ACM,2024,Q4,132689650,106.82
ACM,2025,Q1,132300603,92.73
ACM,2025,Q2,132446101,112.86
ACM,2025,Q3,131833332,130.47
ACM,2025,Q4,132446102,95.33
ACM,2026,Q1,129288624,84.82
ACMR,2024,Q1,56986777,29.14
ACMR,2024,Q2,57449013,23.06
ACMR,2024,Q3,57606036,20.3
ACMR,2024,Q4,58107893,15.1
ACMR,2025,Q1,58842693,23.34
ACMR,2025,Q2,59159154,25.9
ACMR,2025,Q3,59854640,39.13
ACMR,2025,Q4,60705783,39.45
ACN,2024,Q1,670421742,346.61
ACN,2024,Q2,671956882,303.41
ACN,2024,Q3,672684852,353.48
ACN,2024,Q4,674873315,351.79
ACN,2025,Q1,678372953,312.04
ACN,2025,Q2,680343350,298.89
ACN,2025,Q3,658171748,246.6
ACN,2025,Q4,660432542,268.3
ACN,2026,Q1,665142040,198.29
ACNB,2024,Q2,8545629,36.27
ACNB,2024,Q3,8548625,43.67
ACNB,2024,Q4,10542732,39.83
ACNB,2025,Q1,10473686,41.16
ACNB,2025,Q2,10467618,42.84
ACNB,2025,Q3,10384812,44.04
ACNB,2025,Q4,10353502,48.35
ACNT,2024,Q2,10124737,
ACNT,2024,Q3,10092966,
ACNT,2024,Q4,10078533,11.18
ACNT,2025,Q1,10009694,
ACNT,2025,Q2,9368002,12.61
ACNT,2025,Q3,9364814,12.88
ACNT,2025,Q4,9469820,16.19
ACOG,2024,Q2,150855536,
ACOG,2024,Q3,15531282,
ACOG,2024,Q4,16019787,
ACOG,2025,Q1,16019787,
ACOG,2025,Q2,16160787,9.33
ACOG,2025,Q3,21742104,6.51
ACOG,2025,Q4,21774104,
ACON,2025,Q4,2282371,
ACR,2025,Q3,7285680,21.16
ACR,2025,Q4,7131101,21.34
ACRE,2024,Q2,54518727,6.65
ACRE,2024,Q3,54542178,7.0
ACRE,2024,Q4,54856977,5.89
ACRE,2025,Q1,55005353,4.63
ACRE,2025,Q2,55005353,4.77
ACRE,2025,Q3,55026453,4.51
ACRE,2025,Q4,55367672,4.78
ACRS,2024,Q1,71264786,1.24
ACRS,2024,Q2,71344557,1.1
ACRS,2024,Q3,71430942,1.15
ACRS,2024,Q4,107918821,2.48
ACRS,2025,Q1,108281239,1.53
ACRS,2025,Q2,108332218,1.42
ACRS,2025,Q3,108345239,1.9
ACRS,2025,Q4,120595189,3.01
ACRV,2024,Q2,30972163,5.8
ACRV,2024,Q3,31136296,7.0
ACRV,2024,Q4,31351480,6.02
ACRV,2025,Q1,31355361,2.03
ACRV,2025,Q2,31455645,1.19
ACRV,2025,Q3,31555126,1.81
ACRV,2025,Q4,38744446,2.41
ACT,2024,Q2,155698315,30.66
ACT,2024,Q3,153589264,36.33
ACT,2024,Q4,151882153,32.38
ACT,2025,Q1,150066274,34.75
ACT,2025,Q2,147505610,37.15
ACT,2025,Q3,144395767,38.34
ACT,2025,Q4,141513864,39.64
ACTG,2024,Q2,100375459,5.01
ACTG,2024,Q3,97368165,4.66
ACTG,2024,Q4,96086040,4.34
ACTG,2025,Q1,96171702,3.2
ACTG,2025,Q2,96444993,3.58
ACTG,2025,Q3,96460378,3.25
ACTG,2025,Q4,96475469,3.74
ACTU,2024,Q2,19531636,
ACTU,2024,Q3,19531636,
ACTU,2024,Q4,19531636,
ACTU,2025,Q1,19619660,6.77
ACTU,2025,Q2,20745187,6.11
ACTU,2025,Q3,23243328,6.69
ACTU,2025,Q4,23709943,6.12
ACU,2024,Q2,3694966,35.07
ACU,2024,Q3,3741453,41.64
ACU,2024,Q4,3754498,37.33
ACU,2025,Q1,3790689,39.61
ACU,2025,Q2,3799252,41.45
ACU,2025,Q3,3806724,41.18
ACU,2025,Q4,3808225,40.31
ACVA,2024,Q1,147965283,18.77
ACVA,2024,Q2,152175941,18.25
ACVA,2024,Q3,158276243,20.33
ACVA,2024,Q4,168765167,21.6
ACVA,2025,Q1,171064794,14.09
ACVA,2025,Q2,172107121,16.22
ACVA,2025,Q3,172171225,9.91
ACVA,2025,Q4,174071580,8.02
ACXP,2024,Q2,16245099,2.25
ACXP,2024,Q3,16892548,1.9
ACXP,2024,Q4,22042511,0.81
ACXP,2025,Q1,23481606,0.39
ACXP,2025,Q2,1584775,0.51
ACXP,2025,Q3,2085363,
ACXP,2025,Q4,2855025,
ADAG,2025,Q4,59231993,1.89
ADAP,2024,Q2,1534472670,0.97
ADAP,2024,Q3,1535299242,0.95
ADAP,2024,Q4,1543391646,0.54
ADAP,2025,Q1,1590309546,0.2
ADAP,2025,Q2,1590309546,0.24
ADBE,2024,Q1,448000000,504.6
ADBE,2024,Q2,443400000,555.54
ADBE,2024,Q3,440200000,517.78
ADBE,2024,Q4,435300000,444.68
ADBE,2025,Q1,426200000,383.53
ADBE,2025,Q2,424200000,386.88
ADBE,2025,Q3,418600000,352.75
ADBE,2025,Q4,410500000,349.99
ADBE,2026,Q1,404200000,243.08
ADC,2024,Q1,100625948,57.12
ADC,2024,Q2,100624549,61.94
ADC,2024,Q3,103522677,75.33
ADC,2024,Q4,107248705,70.45
ADC,2025,Q1,110018548,77.19
ADC,2025,Q2,110666073,73.06
ADC,2025,Q3,114934390,71.04
ADC,2025,Q4,120028299,72.03
ADC,2026,Q1,120102901,75.38
ADCT,2024,Q2,96647450,3.16
ADCT,2024,Q3,96689617,3.15
ADCT,2024,Q4,99083838,1.99
ADCT,2025,Q1,99178286,1.41
ADCT,2025,Q2,112499395,2.68
ADCT,2025,Q3,123877111,4.0
ADCT,2025,Q4,127044356,3.53
ADEA,2024,Q1,108507448,10.92
ADEA,2024,Q2,108902611,11.19
ADEA,2024,Q3,109264937,11.91
ADEA,2024,Q4,107508991,13.98
ADEA,2025,Q1,108499852,13.22
ADEA,2025,Q2,109368598,14.14
ADEA,2025,Q3,109510191,16.8
ADEA,2025,Q4,109052507,17.25
ADGM,2024,Q2,13387636,11.47
ADGM,2024,Q3,14535136,
ADGM,2024,Q4,15381565,1.05
ADGM,2025,Q1,15381565,
ADGM,2025,Q2,15381565,1.3
ADGM,2025,Q3,21179637,
ADGM,2025,Q4,22210459,1.04
ADI,2024,Q1,495908150,197.79
ADI,2024,Q2,496216857,228.26
ADI,2024,Q3,496493455,230.17
ADI,2024,Q4,496296854,212.46
ADI,2025,Q1,495976483,201.67
ADI,2025,Q2,496248196,238.02
ADI,2025,Q3,491955436,245.7
ADI,2025,Q4,489654097,271.2
ADI,2026,Q1,488204157,318.14
ADIL,2024,Q1,4233308,
ADIL,2024,Q2,6403381,
ADIL,2024,Q3,6405781,
ADIL,2024,Q4,6574588,
ADIL,2025,Q1,7900695,
ADIL,2025,Q2,21828215,0.3
ADIL,2025,Q3,23987587,0.35
ADIL,2025,Q4,1427970,0.22
ADM,2024,Q1,494437789,62.81
ADM,2024,Q2,478142028,60.45
ADM,2024,Q3,478533520,59.74
ADM,2024,Q4,479707071,50.52
ADM,2025,Q1,480450015,48.01
ADM,2025,Q2,480464483,52.78
ADM,2025,Q3,480569735,59.74
ADM,2025,Q4,481201844,57.49
ADMA,2024,Q1,231809197,6.6
ADMA,2024,Q2,233082827,11.18
ADMA,2024,Q3,236390253,19.99
ADMA,2024,Q4,237615100,17.15
ADMA,2025,Q1,238734246,19.84
ADMA,2025,Q2,238630719,18.21
ADMA,2025,Q3,237997765,14.66
ADMA,2025,Q4,238159176,18.24
ADN,2025,Q3,3788634,
ADNT,2024,Q1,89823637,32.92
ADNT,2024,Q2,87189933,24.71
ADNT,2024,Q3,84866763,22.57
ADNT,2024,Q4,83927513,17.23
ADNT,2025,Q1,84016644,12.86
ADNT,2025,Q2,81245928,19.46
ADNT,2025,Q3,79151497,24.08
ADNT,2025,Q4,78329803,19.17
ADP,2024,Q1,409291332,249.74
ADP,2024,Q2,407795203,238.69
ADP,2024,Q3,407456901,276.73
ADP,2024,Q4,406870893,292.73
ADP,2025,Q1,405922749,305.53
ADP,2025,Q2,405043142,308.4
ADP,2025,Q3,404448744,293.5
ADP,2025,Q4,402644364,257.23
ADPT,2024,Q2,147472201,3.62
ADPT,2024,Q3,147579486,5.12
ADPT,2024,Q4,148582201,6.0
ADPT,2025,Q1,151916722,7.43
ADPT,2025,Q2,152273915,11.65
ADPT,2025,Q3,152665188,14.96
ADPT,2025,Q4,153981561,16.24
ADSK,2024,Q1,215446979,260.42
ADSK,2024,Q2,216000000,247.45
ADSK,2024,Q3,215000000,275.48
ADSK,2024,Q4,215000000,295.57
ADSK,2025,Q1,213000000,261.8
ADSK,2025,Q2,214000000,309.57
ADSK,2025,Q3,213000000,317.67
ADSK,2025,Q4,212000000,296.01
ADSK,2026,Q1,211000000,239.4
ADT,2024,Q2,857083468,7.6
ADT,2024,Q3,852268869,7.23
ADT,2024,Q4,821758736,6.91
ADT,2025,Q1,781765950,8.14
ADT,2025,Q2,776526793,8.47
ADT,2025,Q3,765018211,8.71
ADT,2025,Q4,765377312,8.07
ADTN,2024,Q1,79116535,5.44
ADTN,2024,Q2,79232047,5.26
ADTN,2024,Q3,79248942,5.93
ADTN,2024,Q4,79860033,8.33
ADTN,2025,Q1,79977574,8.72
ADTN,2025,Q2,80052167,8.97
ADTN,2025,Q3,80115995,9.38
ADTN,2025,Q4,80659651,8.69
ADUS,2024,Q1,16370336,103.34
ADUS,2024,Q2,18100285,116.11
ADUS,2024,Q3,18133115,133.03
ADUS,2024,Q4,18172865,125.35
ADUS,2025,Q1,18399139,98.89
ADUS,2025,Q2,18407239,115.19
ADUS,2025,Q3,18483271,117.99
ADUS,2025,Q4,18518271,107.39
ADV,2024,Q1,322179519,4.33
ADV,2024,Q2,320538405,3.22
ADV,2024,Q3,320753749,3.43
ADV,2024,Q4,320773096,2.92
ADV,2025,Q1,324312000,1.51
ADV,2025,Q2,325946871,1.32
ADV,2025,Q3,326271915,1.53
ADV,2025,Q4,327507690,0.88
ADVB,2025,Q2,21640000,
ADVB,2025,Q4,21640000,
ADVM,2024,Q2,20800903,6.86
ADVM,2024,Q3,20802463,7.02
ADVM,2024,Q4,20890540,4.67
ADVM,2025,Q1,20890733,4.37
ADVM,2025,Q2,20984161,2.15
ADVM,2025,Q3,22077467,4.53
AEBI,2025,Q3,77341785,12.47
AEBI,2025,Q4,77435027,12.65
AEE,2024,Q1,266670374,73.96
AEE,2024,Q2,266816725,71.11
AEE,2024,Q3,266927767,87.46
AEE,2024,Q4,269906252,89.14
AEE,2025,Q1,270278917,100.4
AEE,2025,Q2,270409918,96.04
AEE,2025,Q3,270494916,104.38
AEE,2025,Q4,276424515,99.86
AEG,2025,Q4,1573119870,7.71
AEHR,2024,Q1,28914729,12.4
AEHR,2024,Q2,29007409,11.17
AEHR,2024,Q3,29630858,12.85
AEHR,2024,Q4,29711804,16.63
AEHR,2025,Q1,29771410,7.29
AEHR,2025,Q2,29915061,12.93
AEHR,2025,Q3,30006590,30.11
AEHR,2025,Q4,30627342,20.19
AEHR,2026,Q1,31453254,
AEI,2024,Q2,9235119,
AEI,2024,Q3,9235119,
AEI,2024,Q4,10735119,
AEI,2025,Q1,11735119,
AEI,2025,Q2,39221676,
AEI,2025,Q3,38905255,
AEI,2025,Q4,38895830,
AEIS,2024,Q1,37442660,101.98
AEIS,2024,Q2,37672536,108.76
AEIS,2024,Q3,37673067,105.24
AEIS,2024,Q4,37721671,115.63
AEIS,2025,Q1,37655384,95.31
AEIS,2025,Q2,37720036,132.5
AEIS,2025,Q3,37745489,170.14
AEIS,2025,Q4,37750990,209.37
AEM,2024,Q3,501031008,80.56
AEM,2024,Q4,501516992,78.21
AEM,2025,Q1,503144000,108.41
AEM,2025,Q3,501630000,168.56
AEM,2025,Q4,500046600,169.53
AEMD,2024,Q2,13937327,0.5
AEMD,2024,Q3,13961998,0.47
AEMD,2024,Q4,14457096,0.86
AEMD,2025,Q1,2585316,0.36
AEMD,2025,Q4,1315110,
AENT,2025,Q2,50957370,3.77
AENT,2025,Q4,50957370,
AEO,2024,Q1,197156524,25.79
AEO,2024,Q2,196430395,19.96
AEO,2024,Q3,192063586,22.39
AEO,2024,Q4,192101783,16.67
AEO,2025,Q1,172514102,11.62
AEO,2025,Q2,173268234,9.62
AEO,2025,Q3,169338842,17.11
AEO,2025,Q4,169512006,26.37
AEO,2026,Q1,166674664,16.7
AEON,2025,Q3,11838447,
AEON,2025,Q4,25303058,
AEP,2024,Q1,527121759,86.1
AEP,2024,Q2,532119995,87.74
AEP,2024,Q3,532565335,102.6
AEP,2024,Q4,532907715,92.23
AEP,2025,Q1,534195026,109.27
AEP,2025,Q2,534794763,103.76
AEP,2025,Q3,535265602,112.5
AEP,2025,Q4,540861473,115.31
AER,2024,Q3,195159008,94.72
AER,2024,Q4,189731008,95.7
AER,2025,Q1,186783008,102.17
AER,2025,Q3,186780000,121.0
AER,2025,Q4,166876547,143.76
AERT,2025,Q1,47152626,
AERT,2025,Q4,50209716,
AES,2024,Q1,710666647,17.93
AES,2024,Q2,710924314,17.57
AES,2024,Q3,711027043,20.06
AES,2024,Q4,711900547,12.87
AES,2025,Q1,711922815,12.42
AES,2025,Q2,712049564,10.52
AES,2025,Q3,712120944,13.16
AES,2025,Q4,712558860,14.34
AESI,2024,Q2,109870061,19.93
AESI,2024,Q3,110216836,21.8
AESI,2024,Q4,121740086,22.18
AESI,2025,Q1,123621233,17.84
AESI,2025,Q2,123738998,13.37
AESI,2025,Q3,123982170,11.37
AESI,2025,Q4,124161317,9.42
